node	identifier	category	term ID	term description	SignatureRatioKIRC	Abbreviation
PLRG1	9606.ENSP00000424417	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	-0.161943533927	3_U2cat
POLDIP3	9606.ENSP00000397927	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	-0.131219846533	1_TREX
POLI	9606.ENSP00000462664	GO Process	GO:0006281	DNA repair	-0.379269396898	5_DNArepair
POLR2D	9606.ENSP00000272645	GO Process	GO:0006281	DNA repair	-0.0783624105169	5_DNArepair
POLR2D	9606.ENSP00000272645	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.0783624105169	7_pretranscriptionAndElongation
PPIE	9606.ENSP00000361918	GO Process	GO:0006281	DNA repair	0.336113477974	5_DNArepair
PPIE	9606.ENSP00000361918	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.336113477974	3_U2cat
PRKAA1	9606.ENSP00000346148	GO Process	GO:0006325	Chromatin organization	-0.678697886937	6_chromatin
PRPF19	9606.ENSP00000227524	GO Process	GO:0006281	DNA repair	0.341951030489	5_DNArepair
PRPF19	9606.ENSP00000227524	GO Process	GO:1903311	Regulation of mrna metabolic process	0.341951030489	2_RNAmetabolism
PRPF19	9606.ENSP00000227524	GO Component	GO:0071006	U2-type catalytic step 1 spliceosome	0.341951030489	3_U2cat
PRPF19	9606.ENSP00000227524	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.341951030489	3_U2cat
PRPF4	9606.ENSP00000363313	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.149759594371	4_U2precat
PRPF6	9606.ENSP00000266079	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.396464765627	4_U2precat
PSMD13	9606.ENSP00000396937	GO Process	GO:1903311	Regulation of mrna metabolic process	0.739438738965	2_RNAmetabolism
PSMD8	9606.ENSP00000215071	GO Process	GO:1903311	Regulation of mrna metabolic process	0.544973957953	2_RNAmetabolism
RBM10	9606.ENSP00000328848	GO Process	GO:1903311	Regulation of mrna metabolic process	0.46594155402	2_RNAmetabolism
RBM14	9606.ENSP00000311747	GO Process	GO:0006325	Chromatin organization	0.177131865257	6_chromatin
RBM25	9606.ENSP00000261973	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.158777153788	2_RNAmetabolism
RBM39	9606.ENSP00000253363	GO Process	GO:1903311	Regulation of mrna metabolic process	0.0674239449359	2_RNAmetabolism
RBM8A	9606.ENSP00000463058	GO Process	GO:1903311	Regulation of mrna metabolic process	0	2_RNAmetabolism
RBM8A	9606.ENSP00000463058	GO Component	GO:0071006	U2-type catalytic step 1 spliceosome	0	3_U2cat
RREB1	9606.ENSP00000369270	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.171051969651	7_pretranscriptionAndElongation
RTEL1	9606.ENSP00000353332	GO Process	GO:0006281	DNA repair	0.279372038003	5_DNArepair
SARNP	9606.ENSP00000337632	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.31732957793	1_TREX
SART1	9606.ENSP00000310448	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.81067968283	4_U2precat
SETD1A	9606.ENSP00000262519	GO Process	GO:0006325	Chromatin organization	0.397389351478	6_chromatin
SETD2	9606.ENSP00000386759	GO Process	GO:0006281	DNA repair	-0.608989445102	5_DNArepair
SETD2	9606.ENSP00000386759	GO Process	GO:0006325	Chromatin organization	-0.608989445102	6_chromatin
SETD2	9606.ENSP00000386759	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.608989445102	7_pretranscriptionAndElongation
SF3A1	9606.ENSP00000215793	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.476446379501	4_U2precat
SF3A3	9606.ENSP00000362110	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.0458162103063	4_U2precat
SF3B1	9606.ENSP00000335321	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.318648287786	4_U2precat
SF3B2	9606.ENSP00000318861	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.0694091386315	4_U2precat
SF3B4	9606.ENSP00000271628	GO Process	GO:1903311	Regulation of mrna metabolic process	0.764216387535	2_RNAmetabolism
SF3B4	9606.ENSP00000271628	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.764216387535	4_U2precat
SIRT7	9606.ENSP00000329466	GO Process	GO:0006281	DNA repair	0.933283275634	5_DNArepair
SIRT7	9606.ENSP00000329466	GO Process	GO:0006325	Chromatin organization	0.933283275634	6_chromatin
SMC5	9606.ENSP00000354957	GO Process	GO:0006281	DNA repair	-0.8131117915	5_DNArepair
SNRNP40	9606.ENSP00000263694	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	-0.0719843597099	3_U2cat
SNRPA1	9606.ENSP00000254193	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.600116016164	4_U2precat
SNRPA1	9606.ENSP00000254193	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.600116016164	3_U2cat
SNRPB2	9606.ENSP00000246071	GO Component	GO:0071005	U2-type precatalytic spliceosome	0.448063266193	4_U2precat
SNRPB2	9606.ENSP00000246071	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.448063266193	3_U2cat
SON	9606.ENSP00000348984	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.717632786128	2_RNAmetabolism
SREK1	9606.ENSP00000334538	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.206014820326	2_RNAmetabolism
SRRM2	9606.ENSP00000301740	GO Component	GO:0071005	U2-type precatalytic spliceosome	-0.276234669045	4_U2precat
SRRM2	9606.ENSP00000301740	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	-0.276234669045	3_U2cat
SRSF4	9606.ENSP00000362900	GO Process	GO:1903311	Regulation of mrna metabolic process	0.304836423603	2_RNAmetabolism
SRSF6	9606.ENSP00000244020	GO Process	GO:1903311	Regulation of mrna metabolic process	0.0673709133886	2_RNAmetabolism
SYF2	9606.ENSP00000236273	GO Component	GO:0071007	U2-type catalytic step 2 spliceosome	0.190319978823	3_U2cat
TADA2B	9606.ENSP00000308022	GO Process	GO:0006325	Chromatin organization	0.00952423048911	6_chromatin
TAF5L	9606.ENSP00000258281	GO Process	GO:0006325	Chromatin organization	-0.249843544368	6_chromatin
TAF5L	9606.ENSP00000258281	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.249843544368	7_pretranscriptionAndElongation
TCEB3	9606.ENSP00000395574	GO Process	GO:0006366	Transcription by rna polymerase ii	-0.231620753602	7_pretranscriptionAndElongation
THOC1	9606.ENSP00000261600	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.1681921519	1_TREX
THOC6	9606.ENSP00000326531	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	1.18689854611	1_TREX
THOC7	9606.ENSP00000295899	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.682984503858	1_TREX
THRAP3	9606.ENSP00000346634	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.357179316837	2_RNAmetabolism
TRIP12	9606.ENSP00000373696	GO Process	GO:0006281	DNA repair	-0.89147197351	5_DNArepair
U2AF2	9606.ENSP00000307863	GO Process	GO:1903311	Regulation of mrna metabolic process	0.396458929732	2_RNAmetabolism
USP22	9606.ENSP00000261497	GO Process	GO:0006325	Chromatin organization	-0.825410059464	6_chromatin
USP36	9606.ENSP00000441214	GO Process	GO:0006325	Chromatin organization	-0.133884208212	6_chromatin
VPS72	9606.ENSP00000346464	GO Process	GO:0006325	Chromatin organization	0.432315639509	6_chromatin
WTAP	9606.ENSP00000351141	GO Process	GO:1903311	Regulation of mrna metabolic process	0.0209096270893	2_RNAmetabolism
ZC3H14	9606.ENSP00000251038	GO Process	GO:1903311	Regulation of mrna metabolic process	-0.67987317797	2_RNAmetabolism
ZC3H18	9606.ENSP00000416951	STRING clusters	CL:1598	Mixed, incl. transcription export complex, and snrna export from nucleus	0.111462538209	1_TREX
